doc_id,source_file,candidates_seen,demoted_count,table_caption_before,table_caption_after,figure_caption_before,figure_caption_after,skipped_eval_only_noise,skipped_uncertain,skipped_manual_pdf_check,skipped_rule_guard
doc_0274,doc_0274.pdf,0,0,0,0,0,0,0,0,0,0
doc_0275,doc_0275.pdf,0,0,1,1,6,6,0,0,0,0
doc_0276,doc_0276.pdf,0,0,0,0,6,6,0,0,0,0
doc_0277,doc_0277.pdf,1,0,1,1,7,7,0,0,0,1
doc_0278,doc_0278.pdf,0,0,0,0,0,0,0,0,0,0
doc_0279,doc_0279.pdf,0,0,1,1,2,2,0,0,0,0
doc_0280,doc_0280.pdf,0,0,0,0,2,2,0,0,0,0
doc_0281,doc_0281.pdf,0,0,1,1,2,2,0,0,0,0
doc_0282,doc_0282.pdf,0,0,6,6,0,0,0,0,0,0
doc_0283,doc_0283.pdf,0,0,0,0,0,0,0,0,0,0
doc_0284,doc_0284.pdf,0,0,0,0,3,3,0,0,0,0
doc_0285,doc_0285.pdf,0,0,0,0,7,7,0,0,0,0
doc_0286,doc_0286.pdf,0,0,0,0,6,6,0,0,0,0
doc_0287,doc_0287.pdf,0,0,1,1,2,2,0,0,0,0
doc_0288,doc_0288.pdf,0,0,1,1,1,1,0,0,0,0
doc_0289,doc_0289.pdf,0,0,0,0,4,4,0,0,0,0
doc_0290,doc_0290.pdf,0,0,0,0,0,0,0,0,0,0
doc_0291,doc_0291.pdf,0,0,1,1,0,0,0,0,0,0
doc_0292,doc_0292.pdf,0,0,0,0,0,0,0,0,0,0
doc_0293,doc_0293.pdf,0,0,0,0,8,8,0,0,0,0
doc_0294,doc_0294.pdf,0,0,1,1,3,3,0,0,0,0
doc_0295,doc_0295.pdf,0,0,0,0,0,0,0,0,0,0
doc_0296,doc_0296.pdf,0,0,4,4,3,3,0,0,0,0
doc_0297,doc_0297.pdf,0,0,0,0,3,3,0,0,0,0
doc_0298,doc_0298.pdf,0,0,0,0,8,8,0,0,0,0
doc_0299,doc_0299.pdf,0,0,0,0,7,7,0,0,0,0
doc_0300,doc_0300.pdf,0,0,0,0,0,0,0,0,0,0
doc_0301,doc_0301.pdf,2,0,0,0,11,11,2,0,0,0
doc_0302,doc_0302.pdf,2,0,2,2,7,7,2,0,0,0
doc_0303,doc_0303.pdf,0,0,0,0,2,2,0,0,0,0
doc_0304,doc_0304.pdf,1,0,1,1,1,1,1,0,0,0
doc_0305,doc_0305.pdf,0,0,0,0,6,6,0,0,0,0
doc_0306,doc_0306.pdf,0,0,0,0,4,4,0,0,0,0
doc_0307,doc_0307.pdf,0,0,0,0,6,6,0,0,0,0
doc_0308,doc_0308.pdf,0,0,1,1,7,7,0,0,0,0
doc_0309,doc_0309.pdf,0,0,1,1,5,5,0,0,0,0
doc_0310,doc_0310.pdf,0,0,3,3,9,9,0,0,0,0
doc_0311,doc_0311.pdf,0,0,0,0,4,4,0,0,0,0
doc_0312,doc_0312.pdf,0,0,2,2,1,1,0,0,0,0
doc_0313,doc_0313.pdf,0,0,0,0,6,6,0,0,0,0
doc_0314,doc_0314.pdf,0,0,0,0,0,0,0,0,0,0
doc_0315,doc_0315.pdf,0,0,2,2,0,0,0,0,0,0
doc_0317,doc_0317.pdf,0,0,0,0,11,11,0,0,0,0
doc_0318,doc_0318.pdf,1,0,2,2,6,6,1,0,0,0
doc_0319,doc_0319.pdf,0,0,2,2,6,6,0,0,0,0
doc_0320,doc_0320.pdf,0,0,1,1,6,6,0,0,0,0
doc_0321,doc_0321.pdf,0,0,0,0,9,9,0,0,0,0
doc_0322,doc_0322.pdf,0,0,1,1,1,1,0,0,0,0
doc_0323,doc_0323.pdf,0,0,1,1,4,4,0,0,0,0
doc_0324,doc_0324.pdf,0,0,5,5,7,7,0,0,0,0
doc_0325,doc_0325.pdf,0,0,0,0,4,4,0,0,0,0
doc_0326,doc_0326.pdf,1,0,2,2,4,4,1,0,0,0
doc_0327,doc_0327.pdf,0,0,0,0,7,7,0,0,0,0
doc_0328,doc_0328.pdf,0,0,3,3,7,7,0,0,0,0
doc_0329,doc_0329.pdf,0,0,1,1,12,12,0,0,0,0
doc_0330,doc_0330.pdf,0,0,0,0,16,16,0,0,0,0
doc_0331,doc_0331.pdf,0,0,1,1,1,1,0,0,0,0
doc_0332,doc_0332.pdf,0,0,1,1,5,5,0,0,0,0
doc_0333,doc_0333.pdf,0,0,0,0,8,8,0,0,0,0
doc_0334,doc_0334.pdf,0,0,4,4,6,6,0,0,0,0
doc_0336,doc_0336.pdf,0,0,1,1,9,9,0,0,0,0
doc_0337,doc_0337.pdf,0,0,1,1,1,1,0,0,0,0
doc_0338,doc_0338.pdf,1,0,8,8,14,14,1,0,0,0
doc_0339,doc_0339.pdf,1,0,8,8,14,14,1,0,0,0
doc_0340,doc_0340.pdf,0,0,0,0,13,13,0,0,0,0
doc_0341,doc_0341.pdf,0,0,1,1,5,5,0,0,0,0
doc_0342,doc_0342.pdf,0,0,0,0,0,0,0,0,0,0
doc_0343,doc_0343.pdf,0,0,0,0,0,0,0,0,0,0
doc_0344,doc_0344.pdf,0,0,0,0,5,5,0,0,0,0
doc_0345,doc_0345.pdf,0,0,1,1,0,0,0,0,0,0
doc_0346,doc_0346.pdf,0,0,0,0,4,4,0,0,0,0
doc_0347,doc_0347.pdf,0,0,2,2,1,1,0,0,0,0
doc_0348,doc_0348.pdf,0,0,2,2,7,7,0,0,0,0
doc_0349,doc_0349.pdf,0,0,1,1,4,4,0,0,0,0
doc_0350,doc_0350.pdf,0,0,0,0,0,0,0,0,0,0
doc_0351,doc_0351.pdf,2,0,0,0,3,3,2,0,0,0
doc_0352,doc_0352.pdf,0,0,2,2,8,8,0,0,0,0
doc_0354,doc_0354.pdf,1,0,2,2,7,7,1,0,0,0
doc_0355,doc_0355.pdf,0,0,0,0,7,7,0,0,0,0
doc_0356,doc_0356.pdf,2,0,2,2,0,0,0,0,0,0
doc_0357,doc_0357.pdf,0,0,3,3,0,0,0,0,0,0
doc_0358,doc_0358.pdf,0,0,1,1,7,7,0,0,0,0
doc_0359,doc_0359.pdf,0,0,0,0,7,7,0,0,0,0
doc_0360,doc_0360.pdf,0,0,2,2,6,6,0,0,0,0
doc_0361,doc_0361.pdf,0,0,0,0,3,3,0,0,0,0
doc_0362,doc_0362.pdf,0,0,2,2,6,6,0,0,0,0
doc_0363,doc_0363.pdf,0,0,2,2,6,6,0,0,0,0
doc_0364,doc_0364.pdf,0,0,3,3,5,5,0,0,0,0
doc_0365,doc_0365.pdf,0,0,3,3,5,5,0,0,0,0
doc_0366,doc_0366.pdf,0,0,0,0,10,10,0,0,0,0
doc_0367,doc_0367.pdf,0,0,0,0,6,6,0,0,0,0
doc_0368,doc_0368.pdf,0,0,1,1,1,1,0,0,0,0
doc_0369,doc_0369.pdf,0,0,1,1,3,3,0,0,0,0
doc_0370,doc_0370.pdf,0,0,5,5,6,6,0,0,0,0
doc_0371,doc_0371.pdf,0,0,2,2,1,1,0,0,0,0
doc_0372,doc_0372.pdf,1,0,1,1,0,0,1,0,0,0
doc_0373,doc_0373.pdf,0,0,0,0,1,1,0,0,0,0
doc_0374,doc_0374.pdf,0,0,0,0,4,4,0,0,0,0
doc_0375,doc_0375.pdf,0,0,0,0,4,4,0,0,0,0
doc_0376,doc_0376.pdf,0,0,4,4,1,1,0,0,0,0
doc_0377,doc_0377.pdf,1,0,5,5,0,0,0,1,0,0
doc_0378,doc_0378.pdf,0,0,0,0,12,12,0,0,0,0
doc_0379,doc_0379.pdf,0,0,1,1,8,8,0,0,0,0
doc_0380,doc_0380.pdf,3,0,6,6,4,4,1,0,0,0
doc_0381,doc_0381.pdf,0,0,0,0,5,5,0,0,0,0
doc_0382,doc_0382.pdf,0,0,2,2,2,2,0,0,0,0
doc_0383,doc_0383.pdf,0,0,0,0,0,0,0,0,0,0
doc_0384,doc_0384.pdf,0,0,1,1,5,5,0,0,0,0
doc_0385,doc_0385.pdf,0,0,0,0,7,7,0,0,0,0
doc_0386,doc_0386.pdf,0,0,1,1,2,2,0,0,0,0
doc_0389,doc_0389.pdf,0,0,1,1,5,5,0,0,0,0
doc_0390,doc_0390.pdf,1,0,1,1,11,11,0,1,0,0
doc_0391,doc_0391.pdf,0,0,2,2,4,4,0,0,0,0
doc_0392,doc_0392.pdf,0,0,0,0,2,2,0,0,0,0
doc_0393,doc_0393.pdf,0,0,2,2,1,1,0,0,0,0
doc_0394,doc_0394.pdf,0,0,1,1,6,6,0,0,0,0
doc_0395,doc_0395.pdf,0,0,0,0,4,4,0,0,0,0
