doc_id,block_id,caption_text,protect_reason,found_block_type_after,found_text_after,preserved,source
doc_0179,p4_b0057,Table 2. Primers used for mutations.,short_caption_with_semantic_anchor,table_caption,Table 2. Primers used for mutations.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0179,p6_b0084,Figure 1. Residual activity of the wild-type and single-site mutants.,short_caption_with_semantic_anchor,figure_caption,Figure 1. Residual activity of the wild-type and single-site mutants.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0179,p6_b0086,Figure 2. The crystal structure of wild-type CMK (PDB: code,short_caption_with_semantic_anchor,figure_caption,Figure 2. The crystal structure of wild-type CMK (PDB: code,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0179,p6_b0089,Figure 3. Residual activity of the wild-type and double-site,short_caption_with_semantic_anchor,figure_caption,Figure 3. Residual activity of the wild-type and double-site,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0179,p7_b0093,Figure 5. The residual enzyme activ- ity of Q30G/E85I/D148W/K165L was 46.,short_caption_with_semantic_anchor,figure_caption,Figure 5. The residual enzyme activ- ity of Q30G/E85I/D148W/K165L was 46.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0179,p7_b0099,Figure 4. Residual activity of the wild-type and triple-site Figure 5.,short_caption_with_semantic_anchor,figure_caption,Figure 4. Residual activity of the wild-type and triple-site Figure 5.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0179,p8_b0111,Figure 6. Identification of pDPCN plasmid digestion.,short_caption_with_semantic_anchor,figure_caption,Figure 6. Identification of pDPCN plasmid digestion.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0179,p8_b0114,Figure 7. Time course of 3’-SL production in 25 mL.,short_caption_with_semantic_anchor,figure_caption,Figure 7. Time course of 3’-SL production in 25 mL.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0180,p2_b0019,Figure 1. Construction of metabolic pathways for microbial synthesis of 2′-FL.,short_caption_with_semantic_anchor,figure_caption,Figure 1. Construction of metabolic pathways for microbial synthesis of 2′-FL.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0181,p4_b0068,Table 1 | Peptidoglycan synthesis enzymes and cell morphogenesis proteins in Escherichia coli,short_caption_with_semantic_anchor,table_caption,Table 1 | Peptidoglycan synthesis enzymes and cell morphogenesis proteins in Escherichia coli,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
